prompt,completion
The capital of Mongolia is Ulan Bator.,ma tomo lawa pi ma Monko li ma tomo Ulanpata.
sina sona ala sona e ni: jan Ton li lili la ona li lon ma Oselija?,Didn't you know Tom lived in Australia when he was a kid?
Have you told me everything?,sina toki e ale tawa mi anu seme?
sina open e poki tan seme?,Why did you open the box?
"Enough, I said.",mi toki e ni: o pini!
jan mute li sike e sina.,You're surrounded.
"I will be phenomenal to the women. I mean, I want to help women.",mi pona mute tawa meli ali. mi wile toki e ni: mi wile pana e pona tawa meli ali.
o len e toki ni.,Please keep it secret.
mi ken ala toki e pilin mi.,I cannot describe my feelings.
Tom ate like a pig.,jan Ton li moku sama soweli pi ma telo.
I'm Mary.,mi jan Mewi.
I cannot lock the door. I have lost the key.,mi ken ala pini e lupa. mi weka e ilo open.
mama mije li weka lon tenpo ni.,Father is away now.
He swims like a fish.,ona li tawa lon telo sama kala.
jan kon li lon.,Ghosts exist.
Alcohol is bad for the health.,telo nasa li ike tawa sijelo.
Caterpillars transform into butterflies while they're in a cocoon.,pipi waso lili li kama jo e luka waso lon selo mama.
tenpo ale la jan Ton li kama lukin e pakala pi ona meli.,Tom always finds fault with her.
Um...,n...
"In Europe, surgical masks are not common so I was expecting people to give me weird looks, which they do as soon as they realize I am not Asian, Domenella, who was traveling through Germany on her way to London, told VOA in an email.","ma Elopa la jan mute ala li jo e len uta. tan ni la pilin mi la jan li kama lukin nasa e mi. ona li lukin nasa kin lon kama sona ni: mi tan ma Asija ala. jan Tomenela li tawa lon ma Tosi tawa ma Lantan, li toki e ni tawa kulupu ""toki pi ma Mewika"" kepeken lipu kon."
I wonder where Tom hid the key.,mi wile sona e ni: jan Ton li len e ilo open lon seme?
They are not sisters.,ona mute li meli sama ala.
tomo mute li pakala lon tenpo pi suli mute tu pi ma ali.,Many of the buildings were destroyed in World War II.
soko li pona mute tawa mi.,I love mushrooms.
mi wan taso ala.,I'm not alone.
He began a new life.,ale li kama sin tawa ona.
"ona li jo ala e mani e pali e jan pona. lon la, ona li pakala.","No money, no job, no friends. He was truly at loose ends."
lipu li lon supa sitelen mi.,There's a book on my desk.
There are no fish in this pond.,telo ni la kala li lon ala.
mi kama jo e lipu toki pona.,I received a friendly letter.
tawa lukin la tenpo kulupu musi ni li pona tawa jan Ton.,Tom seems to be enjoying the party.
No one approved the proposal.,toki ni li pona tawa jan ala.
sina kepeken ala kepeken toki Kanse lon sona sina?,Do you think in French?
I was born on a ship.,mama mi li pana e mi lon tomo tawa telo.
mije sama pi mije ni li jan pi kama sona wawa mute.,His brother studies very hard.
sina pana e sona tawa mi. pona!,Thanks for explaining this to me.
seme li lon ma Sonko?,What's in China?
jan Powi li toki e ni tawa mi: mi o pana e ni tawa sina.,Boris asked me to give this to you.
mi tawa weka. taso meli sama mi li awen kin.,I left earlier than my sister.
The fridge was completely empty.,poki lete li jo e ala.
We're being attacked by mosquitos.,pipi li utala e mi mute.
His whole family is like that.,jan ale pi kulupu mama ona li sama ni.
Please give me a pen and some sheets of paper.,o pana e ilo sitelen e lipu tawa mi.
Tom can't leave now.,tenpo ni la jan Ton li ken ala tawa weka.
Ingo loves her.,jan Inko li olin e ona.
jan li pana e ijo pona tawa jan ale.,Everybody will be rewarded.
ona li toki kepeken toki Kanse anu seme?,Does she speak French?
jan Ton li jan pona pi jan Mewi.,Tom is friends with Mary.
Tom believes in strange things.,jan Ton li pilin wawa e ni: ijo nasa li lon.
I was with friends all last night.,mi lon poka pi jan pona lon tenpo pimeja pini ale.
Tom didn't do anything else.,jan Ton li pali ala e ijo ante.
He isn't timid.,ona li jan pi pilin akesi ala.
mi o tawa ma kasi pi ma tomo.,Let's go to the park.
I can't tell them that.,mi ken ala toki e ni tawa ona mute.
ko jelo sin li ken lon poki lete.,There might be more butter in the refrigerator.
I was told my tear duct was blocked.,jan li toki e ni tawa mi: ijo li sinpin lon nasin mi pi telo lukin.
This is the last game.,ni li musi pini.
jan Mewi li toki e ni: ona li tawa ala lon telo.,Mary said she didn't swim.
mi wile e nasa pona tawa ona mute.,I wish them luck.
Peter's very tall. He takes after his father.,jan Pita li suli mute. ona li sama mama mije.
I needed this.,mi wile e ni.
jan Ton li jo e ilo pi pona uta lon tomo pali ona. kepeken ona la ona li pona e uta ona lon pini pi tenpo moku.,Tom keeps a toothbrush in his office so he can brush after lunch.
That won't be difficult to do.,ni li ike pali ala.
sina sona ala sona e toki mi?,Do you understand what I am saying to you?
I couldn't control my anger.,mi ken ala lawa e pilin utala mi.
She is not young.,ona li jo ala e tenpo sike lili.
"Tom was here, wasn't he?",jan Ton li lon ni anu seme?
Pray to the Holy Virgin.,"o toki tawa sewi, tawa meli pi unpa ala."
The flag fluttered in the breeze.,len ma li tawa lon kon tawa.
Brothers!,jan sama mije mute o!
tenpo ala la mi mute li weka e ijo.,We never forget.
No one speaks this language anymore.,tenpo ni la jan ala li toki lon toki ni.
sina wile kepeken e ilo.,You have to use tools.
I call her up every day.,tenpo suno ale la mi toki weka tawa ona.
mi tawa tomo tan ni: mi ante e len.,I went home in order to change my clothes.
tenpo ni la sina lon ma pakala anu seme?,Are you in immediate danger?
"ona li lape, la jan li utala li moli e ona.",She was shot in her sleep.
"Tom isn't a person, but rather an idea.","jan Ton li jan ala, li sitelen insa kin."
jan Ton li jo e luka wawa.,Tom has a powerful grip.
lukin la jan Ton li jo e sijelo pona.,Tom seems to be healthy.
o moli e jan Ton.,Kill Tom.
jan Ton en jan Mali li tawa ala ma tomo Pasen.,Neither Tom nor Mary went to Boston.
Food is inside me.,moku li lon insa mi.
He has bought a new car.,ona li kama jo e tomo tawa sin lon esun.
This is a trap.,ni li ma pakala.
The USA is very big.,ma Mewika li suli mute.
kili loje ni li jo ala e pilin moku.,These tomatoes don't have any taste.
ma tomo Pasen li lon seme?,Where is Boston?
sina tu li unpa ala unpa kin e sama?,Did you really have sex?
Tom told me he doesn't want to work with you.,jan Ton li toki e ni tawa mi: ona li wile ala pali poka sina.
They're taking us for fools.,ona mute li pilin e ni: mi mute li nasa.
Tom has collected a great many butterflies.,jan Ton li kama jo e pipi mute a.
mi ali li jan.,We are all humans.
tan seme la jan Ton li kama?,Why did Tom come?
ona li wile wawa e ni: ona li pana e tomo tawa lon esun.,He decided to sell the car.
moku telo ni li wile e namako sin.,This soup needs more salt.
I can't get the door to shut properly.,mi ken ala pini pona e lupa tomo.
I want to give it to Mary.,mi wile pana e ona tawa jan Mewi.
mama mije mi li jo e tomo tawa sin.,My father has a new car.
Let them all come.,ona ali o kama.
"When the thief heard the dog bark, he ran away.",soweli li mu li weka e jan ike.
This is one of the trees that I want to have cut down.,mi wile e ni: jan li lili e kasi suli mute. ni li ona ni wan.
mi sona e ni: suno li seli mute.,I know that the sun is very hot.
mi jo e nena mute pi pipi moku lon luka mi.,I've got mosquito bites all over my arm.
Who gave Tom that black eye?,jan seme li pakala e sinpin lawa pi jan Ton?
mi wile unpa monsi e sina.,I want to have anal sex with you.
Tom has traveled a lot.,jan Ton li tawa mute.
He deals in used cars.,ona li esun e tomo tawa pi sin ala.
"Wow, that's great.",pona a!
I'll do everything for you.,mi wile pali e ale tawa sina.
Why is the door open?,lupa li open tan seme?
He wants to kill me.,ona li wile moli e mi.
mi awen ala jo e mani.,We ran out of money.
tomo pi jan Ton li lon seme?,Where's Tom's home?
I've been having strange dreams.,mi lukin lape e ijo nasa.
ala. sina pona.,"No, thank you."
jan Ton li jo kin e lawa wawa.,Tom certainly is intelligent.
kili ni li laso.,This is a green apple.
"In Canada we sleep in a bed, not on the floor.",lon ma Kanata la jan li lape lon supa lape li lape ala lon anpa.
jan sona mi li pona tawa mi.,I liked my teachers.
There is nothing more important than friends.,jan pona li suli mute. ale ante li suli lili.
mi wile toki e wile sona tawa ona.,I want to ask him something.
Do you have to do that now?,sina wile ala wile pali e ona lon tenpo ni?
mi awen ala jo e wawa!,I was very exhausted.
Don't ever say that again.,o toki ala e ni lon tenpo sin.
There are six apples in the box.,kili luka wan li lon poki.
I'm vegetarian.,mi moku ala e soweli.
jan Ton li esun e tomo tawa ni tan ni: ona li pona tawa meli ona.,Tom bought that car because his wife liked it.
The Romans call Zeus Jupiter.,"jan Loma li pana e nimi ""Kasi"" tawa mama pi jan sewi ale."
I thought you said that you needed to do that today.,sona mi la sina toki e ni: sina wile pali e ni lon tenpo suno ni.
Where were you yesterday afternoon?,sinpin pi tenpo pimeja pini la sina lon seme?
I don't want to spend the rest of my life regretting it.,tenpo kama ale la mi wile ala pilin ike tan pali mi.
I haven't seen him lately; give him my regards.,mi lukin ala e ona lon tenpo pini. o toki e ni tawa ona: mi toki tawa ona: toki!
There were some people at our house yesterday.,tenpo suno pini la jan mute li lon tomo mi.
mi wile lape tan pali.,I was tired of the work.
mi ken ala kalama musi ala tan sina.,I cannot help laughing at you.
jan Sani li anpa li suwi.,Sami was very humble and sweet.
awen mi li lon mun tu wan taso.,I've only been here three months.
ona li jo e mani mute.,He has a lot of money.
When do you study?,sina kama sona lon tenpo seme?
ni li nasa anu seme?,Is that unusual?
Sami is looking for his ball.,jan Sami li lukin jo e sike musi ona.
sina ken ala ken awen lon tenpo lili?,Can you wait a minute?
My sister is very intelligent.,meli sama mi li jo e lawa pi wawa mute.
I've brought you a gift.,mi pana e ijo pona tawa sina.
jan Ton li weka kepeken lupa suno.,Tom went out the window.
Why didn't Noah swat those two mosquitoes?,tan seme la jan Nowa li moli ala e pipi ike tu ni?
tomo pali li jo e mani pi lili ike.,The company is in financial trouble.
Good luck with your work!,o jo e nasa pona lon pali sina!
mi wawa ala.,I'm weak.
I saw her just the other day.,mi kama lon ona lon tenpo suno pi tenpo pini poka.
jan Ton li moku e telo nasa.,Tom drinks.
Tom didn't know because I never told him.,jan Ton li sona ala tan ni: tenpo ala la mi toki e ni tawa ona.
mama tu li mama mije li mama meli.,The two parents are the father and the mother.
Guide us to the straight way.,o tawa e mi mute tawa nasin linja.
I can't do it today.,mi ken ala pali e ni lon tenpo suno ni.
Have you got a headache?,lawa sina li pilin ala pilin ike?
Wires transmit electricity.,linja li jo e wawa linja.
A monkey is mature at a few years old.,pini pi sike suno lili la soweli pi selo jan li ken unpa.
kili pi jelo loje li pona tawa ona.,She likes oranges.
mi kama pona.,I recovered.
mama mije pi meli mi li jo e linja lawa pimeja.,My wife's father has dark hair.
Luck and hard work are necessary if you want to advance in life.,sina wile tawa ijo pona la nasa pona en pali wawa li wile lon.
Can I have a donut?,mi ken ala ken jo e suwi sike?
I'm going to the bathroom.,mi tawa tomo telo.
tenpo pini la jan Ton li jo e tomo lon ni.,Tom lived there.
How did we do that?,nasin seme la mi pali e ni?
I sold it this afternoon.,mi pana e ona lon esun lon pini pi tenpo suno ni.
Jesus is mentioned in the Quran.,nimi Jesu li lon lipu pi nasin sewi Silami.
"But, because he was dressed in the Turkish way, the astronomers did not believe he was telling the truth.",taso ona li jo e len pi ma Tuki. tan ni la jan pi sona mun li pilin ala e ni: ona li toki lon.
tenpo suno kama la seli li mute seme?,What's the temperature going to be tomorrow?
len ni li lili mute tawa mi.,This T-shirt is too small for me.
ona li sona e ni: ona li wile tawa weka pi ma tomo.,She knew she needed to leave town.
tenpo pi kama suno la sina moku e moku open. tenpo insa la sina moku e moku insa. sina moku e namako lon tenpo suno. tenpo pi kama pimeja la sina moku e moku pini.,"In the morning you have breakfast, you have lunch mid-afternoon, you have a snack during the day, and in the evening you have dinner."
Tom would like to see your new guitar.,jan Ton li wile lukin e ilo kalama linja sin sina.
mama mama mije mi li kama tawa suno li moli lon tomo sama.,My grandfather died in the same room in which he was born.
She resembles a popular singer.,ona li sama jan suli pi kalama musi.
mi jan suli pi ma tomo Loma.,I am a Roman citizen.
OK.,pona.
jan Ton li wile e ni: jan li toki e ni: ona li pilin utala.,Tom pretended to be angry.
ni li nasa mute anu seme?,It's weird isn't it?
My headache is completely gone.,pakala lawa mi li weka ale.
I have a green shirt.,mi jo e len laso jelo.
"Tom and Mary are asleep, aren't they?",jan Ton en jan Mewi li lape anu seme?
olin sina pi nanpa wan li jan seme?,Who was your first love?
I'd like to hear from you.,mi wile kute tan sina.
mi kin li pali e ni a!,I did this too!
mi olin e mi. sama la mi olin e sina.,I love you like I love myself.
ona li kama lape lon tomo sona.,He fell asleep during class.
There's something on that shelf that Tom wants.,supa li jo e ijo. jan Ton li wile e ona.
mi kute e kalama ala lon tomo.,Not a sound was heard in the room.
sina mute li lukin e seme?,What are you guys looking at?
jan sewi li lawa e mi li pana e mani tawa mi.,The Lord is my shepherd; I shall not want.
Tom seems to speak French better than before.,toki mi la jan Ton li toki pona mute lon toki Kanse. sinpin pi tenpo ni la ona li toki pona lili kepeken toki Kanse.
Write soon!,o sitelen e lipu toki lon tenpo kama poka!
I noticed that there was a picture of Tom on the mantelpiece.,mi lukin e ni: sitelen pi jan Ton li lon sewi pi poki seli.
Have things changed since then?,ijo li kama ante tan tenpo ni anu seme?
I have a twin brother.,mi jo e mije sama. mi tu li kama tawa suno lon tenpo suno sama.
"Thanks, but I don't eat jam.",pona tawa sina. taso mi moku ala e ko kili suwi.
soweli li mu tawa ona.,The dog is barking at him.
The fight begins now.,utala li open lon tenpo ni.
Can you hear me now?,tenpo ni la sina ken ala ken kute e mi?
tenpo ni la ma li jo ala e selo e insa. pimeja li lon sewi anpa. kon sewi li kon lon sewi telo.,Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.
mi ken ala pona e ni.,There's nothing we can do about it.
tenpo luka luka luka tu la jan Kelena li sike e suno.,Helen is seventeen years old.
Can you use a computer?,sina ken ala ken kepeken e ilo sona?
jan pi ma ante li kepeken toki Nijon sama toki mama.,The foreigner spoke Japanese as if it were her mother tongue.
